"components/662caa2c5f555c001145e889/_items/1/text/","Elas focam apenas em serviços de GPS"
"components/662caa2c5f555c001145e889/_items/2/text/","Elas servem apenas para entretenimento"
"components/662caa2c5f555c001145e889/_items/3/text/","Elas substituem totalmente os meios antigos de comunicação"
"components/662caa2c5f555c001145e889/_feedback/correct/","<p dir=""ltr"">Correto.</p>"
"components/662caa2c5f555c001145e889/_feedback/_incorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
"components/662caa2c5f555c001145e889/_feedback/_partlyCorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
"components/662cab16387a3d0011473a7c/title/","Questão 2"
"components/662cab16387a3d0011473a7c/displayTitle/","Questão 2"
"components/662cab16387a3d0011473a7c/body/","<p>Quais os possíveis males trazidos pelo uso excessivo das tecnologias digitais?</p>"
"components/662cab16387a3d0011473a7c/_items/0/text/","Efeitos prejudiciais na saúde devido ao tempo de tela excessivo"
"components/662cab16387a3d0011473a7c/_items/1/text/","Elas geralmente melhoram a saúde física e mental"
"components/662cab16387a3d0011473a7c/_items/2/text/","Elas deixam a segurança e a privacidade de dados mais fácil"
"components/662cab16387a3d0011473a7c/_items/3/text/","Elas eliminam as divisões com o acesso igual à tecnologia"
"components/662cab16387a3d0011473a7c/_feedback/correct/","<p dir=""ltr"">Correto.</p>"
"components/662cab16387a3d0011473a7c/_feedback/_incorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
"components/662cab16387a3d0011473a7c/_feedback/_partlyCorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
"components/662cab83bafa840011d9c2df/title/","Questão 3"
"components/662cab83bafa840011d9c2df/displayTitle/","Questão 3"
"components/662cab83bafa840011d9c2df/body/","<p>Qual a função principal do sistema operacional nos dispositivos eletrônicos?</p>"
"components/662cab83bafa840011d9c2df/_items/0/text/","Ele forma a base essencial para controlar e executar os softwares"
"components/662cab83bafa840011d9c2df/_items/1/text/","Ele foi feito exclusivamente para navegar online"
"components/662cab83bafa840011d9c2df/_items/2/text/","Ele é um aplicativo secundário para outros softwares"
"components/662cab83bafa840011d9c2df/_items/3/text/","Ele foi feito principalmente para jogos"
"components/662cab83bafa840011d9c2df/_feedback/correct/","<p dir=""ltr"">Correto.</p>"
"components/662cab83bafa840011d9c2df/_feedback/_incorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
"components/662cab83bafa840011d9c2df/_feedback/_partlyCorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
"components/662cac0e5f555c001145e88c/title/","Questão 4"
"components/662cac0e5f555c001145e88c/displayTitle/","Questão 4"
"components/662cac0e5f555c001145e88c/body/","<p>Qual o papel principal do navegador no mundo digital?</p>"
